Date: 04Jan2019 Time: 11:24:26 Latitude: 123.99000 Longitude: 80.18000
Elevation: 50.0 Ceiling: -999 Visibility: -999

Line	Height	Wind Direction	Wind Speed	Virt Temp		Pressure		Temperature
	(m)	(tens of mils)	(kt)		(K*10)		(mb)		(K*10)
0	15	130		3		3085		1004		3051
1	202	120		11		3044		983		3012
2	500	118		9		3022		951		2992
3	999	44		6		2989		898		2965
4	1496	4		8		2954		849		2935
5	2000	18		9		2922		800		2908
6	2497	34		8		2890		755		2878
7	2996	55		12		2867		711		2855
8	3495	72		10		2836		670		2825
9	3998	68		11		2799		630		2790
10	4502	93		8		2771		593		2765
11	5001	108		9		2738		557		2732
12	6002	100		3		2692		491		2688
13	6997	121		6		2625		432		2622
14	8000	29		6		2564		378		2563
15	8997	169		3		2486		331		2485
16	10003	198		2		2407		287		2407
17	11002	25		14		2321		249		2321
18	12003	25		11		2235		214		2235
19	13001	72		8		2159		183		2159
20	14002	141		20		2082		156		2082
21	14997	137		16		2019		132		2019
22	16001	123		8		1954		111		1954
23	16997	90		36		1960		93		1960
24	17999	122		30		2021		78		2021
25	18997	83		36		2037		66		2037
26	20000	104		40		2059		56		2059
27	20998	103		40		2090		47		2090
28	22002	84		46		2110		40		2110
